856 1708
1.42020E+00 -3.65192E+00 1.48390E+00
1.00683E+00 -3.14891E+00 2.49787E+00
2.97943E+00 -4.51709E+00 2.36227E+00
3.01054E+00 -3.56355E+00 3.41503E+00
1.59638E+00 -3.18388E+00 3.31201E+00
2.18339E+00 -2.95197E+00 3.87474E+00
-2.25478E+00 -3.79242E+00 5.28762E-01
-1.57450E+00 -3.88014E+00 -4.53224E-01
-9.36954E-02 -3.79811E+00 -4.18328E-01
-1.15871E-01 -3.07596E+00 9.41539E-01
-7.39344E-01 -2.97155E+00 1.67112E+00
-1.62132E+00 -3.33174E+00 1.51735E+00
-3.32252E+00 -2.92013E+00 2.64209E+00
-1.49791E+00 -2.97958E+00 2.68432E+00
-3.94797E+00 -3.12362E+00 2.00198E+00
-3.11951E+00 -3.50436E+00 1.42311E+00
-2.34422E+00 -2.51174E+00 3.44635E+00
1.02946E+01 -1.68269E+00 -4.47799E+00
1.12625E+01 -2.76909E+00 -4.26799E+00
1.20060E+01 -2.61197E+00 -3.45127E+00
1.20074E+01 -6.20382E-01 -3.18805E+00
1.08207E+01 -4.24698E-01 -3.86960E+00
1.25045E+01 -1.47050E+00 -3.05713E+00
8.34923E+00 -1.42742E+00 -5.22210E+00
8.99831E+00 -2.53727E+00 -5.21389E+00
9.96311E+00 -2.58460E+00 -4.90445E+00
1.15303E+01 -6.01823E+00 -3.95983E+00
9.84758E+00 -6.22405E+00 -3.95237E+00
1.12851E+01 -4.76484E+00 -4.40674E+00
1.06079E+01 -6.76957E+00 -3.42544E+00
1.41697E+00 -3.07707E+00 -4.07601E+00
2.19976E+00 -2.65751E+00 -4.70702E+00
3.50622E+00 -3.90420E+00 -3.85103E+00
1.35218E+00 -3.90244E+00 -2.75154E+00
6.24617E-01 -3.27650E+00 -3.51135E+00
2.94981E+00 -3.27555E+00 -4.26048E+00
2.94981E+00 -4.21660E+00 -3.10279E+00
2.33129E+00 -4.35572E+00 -2.41205E+00
-9.19840E+00 5.86394E+00 -1.42214E+00
-8.54648E+00 5.68897E+00 -2.12386E+00
-6.97208E+00 6.04659E+00 -2.43742E+00
-6.86065E+00 6.85349E+00 -1.37671E+00
-7.64738E+00 6.84034E+00 -3.21416E-01
-6.24722E+00 6.72662E+00 -2.07210E+00
-8.67481E+00 6.36580E+00 -6.15691E-01
-1.40228E+01 -3.26209E-01 -3.74698E+00
-1.62072E+01 -3.70146E-01 -2.58944E+00
-1.45308E+01 5.19089E-01 -3.22093E+00
-1.54396E+01 6.71456E-01 -2.45878E+00
-8.60563E+00 -4.57094E-01 -4.83027E+00
-9.36656E+00 8.02356E-01 -4.76064E+00
-1.00575E+01 -1.67409E+00 -3.78318E+00
-1.16203E+01 -4.18894E-01 -4.29738E+00
-1.08457E+01 -1.00239E+00 -4.18009E+00
-9.17157E+00 -1.33129E+00 -4.29839E+00
-7.18910E+00 -5.66506E-01 -5.02376E+00
-7.01364E+00 -1.96362E+00 -4.05731E+00
