Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],Beta0_1,Beta1,Beta2_1,Beta3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],Beta0_2,Beta1_2,Beta2_2,Beta3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
9690,-27327.9723463741,32501.92925928,-0.00976861681169399,-2.3450197266926,-1.97171224949483,-4.53510242970747e-07,0.0758807930358715,0.702395833144569,-0.0709218746452573,-0.704167797138009,-0.00236213444251784,-4.76818734543639e-05,-0.00113675445688417,-27327.9723429907,32501.9313967369,0,-2.34501932331676,-1.97171432216014,0,0.0758807930358715,0.702395833144569,-0.0709218746452573,-0.704167797138009,-0.00236213444251784,-4.76818734543645e-05,-0.000136754456884166
9700,-27351.4154272249,32482.2036787757,-0.00977311802927651,-2.34359654697906,-1.97340367960195,-4.46729103394804e-07,0.0836737526870327,0.701383025174695,-0.0616309623850158,-0.705168192407711,-0.00236232924562418,-4.52282520609092e-05,-0.00113676134888768,-27351.4154212086,32482.2057955566,0,-2.34359611687961,-1.97340574275109,0,0.0836737526870327,0.701383025174695,-0.0616309623850158,-0.705168192407711,-0.00236232924562418,-4.52282520609098e-05,-0.000136761348887677
9710,-27374.8442701918,32462.4611891025,-0.00977755131189728,-2.34217214707803,-1.97509408273692,-4.39923401873978e-07,0.0914570971791967,0.700273502340121,-0.0523304603040375,-0.706055340763189,-0.00236252603460032,-4.27821582089948e-05,-0.00113674279773053,-27374.8442612616,32462.4632853061,0,-2.34217169045281,-1.97509613605505,0,0.0914570971791967,0.700273502340121,-0.0523304603040375,-0.706055340763189,-0.00236252603460032,-4.27821582089954e-05,-0.000136742797730532
9720,-27398.2588630767,32442.7018005342,-0.00978191641841533,-2.34074652772975,-1.97678345801695,-4.33094028171117e-07,0.0992296288906925,0.699067370453473,-0.0430217333102442,-0.70682913266253,-0.00236272480067777,-4.03439905456955e-05,-0.00113669894672812,-27398.2588509535,32442.7038762627,0,-2.34074604477788,-1.97678550119209,0,0.0992296288906925,0.699067370453473,-0.0430217333102442,-0.70682913266253,-0.00236272480067777,-4.03439905456961e-05,-0.000136698946728118
9730,-27421.6591936888,32422.9255233537,-0.00978621311641185,-2.33931968967512,-1.97847180455987,-4.26241837215105e-07,0.106990151407689,0.697764749134352,-0.0337061479428064,-0.707489475510478,-0.00236292553523671,-3.7914144179e-05,-0.00113662994284061,-27421.6591780955,32422.9275787124,0,-2.33931918059695,-1.97847383728276,0,0.106990151407689,0.697764749134352,-0.0337061479428064,-0.707489475510478,-0.00236292553523671,-3.79141441790006e-05,-0.000136629942840606
9740,-27445.0452498444,32403.1323678525,-0.00979044118184977,-2.33789163365565,-1.98015912148419,-4.19367650693717e-07,0.11473746971275,0.696365771806901,-0.0243850721926478,-0.708036293669932,-0.00236312822979302,-3.54930106313336e-05,-0.00113653593662898,-27445.0452305062,32403.1344029502,0,-2.3378910986528,-1.98016114344821,0,0.11473746971275,0.696365771806901,-0.0243850721926478,-0.708036293669932,-0.00236312822979302,-3.54930106313342e-05,-0.000136535936628973
9750,-27468.4170193678,32383.3223443311,-0.00979460039874954,-2.33646236041349,-1.98184540790909,-4.12472258704822e-07,0.122470390373128,0.694870585695881,-0.0150598753224134,-0.708469528470907,-0.00236333287598507,-3.30809777938839e-05,-0.00113641708221073,-27468.4169960118,32383.3243592795,0,-2.33646179968885,-1.98184741881007,0,0.122470390373128,0.694870585695881,-0.0150598753224134,-0.708469528470907,-0.00236333287598507,-3.30809777938845e-05,-0.000136417082210724
9760,-27491.7744900902,32363.4954630985,-0.00979869055888172,-2.33503187069144,-1.98353066295439,-4.05556421461833e-07,0.130187721728783,0.693279351821257,-0.00573192768592077,-0.708789138216981,-0.00236353946556036,-3.06784298817322e-05,-0.00113627353721532,-27491.7744624457,32363.4974580129,0,-2.33503128444913,-1.98353266249054,0,0.130187721728783,0.693279351821257,-0.00573192768592077,-0.708789138216981,-0.00236353946556036,-3.06784298817329e-05,-0.000136273537215316
9770,-27515.1176498505,32343.6517344729,-0.00980271146147688,-2.33360016523288,-1.98521488574056,-3.98620871049459e-07,0.137888274080076,0.691592244991269,0.00359739945289609,-0.708995098189212,-0.00236374799036187,-2.82857473897908e-05,-0.0011361054627393,-27515.117617649,32343.6537094715,0,-2.33359955367833,-1.98521687361234,0,0.137888274080076,0.691592244991269,0.00359739945289609,-0.708995098189212,-0.00236374799036187,-2.82857473897914e-05,-0.000136105462739299
9780,-27538.4464864949,32323.791168781,-0.0098066629129533,-2.3321672447818,-1.98689807538874,-3.91666313226784e-07,0.145570859875125,0.689809453794003,0.0129267341015317,-0.709087400647554,-0.00236395844231432,-2.59033070495466e-05,-0.00113591302330118,-27538.44644947,32323.7931239854,0,-2.33216660812176,-1.98690005129875,0,0.145570859875125,0.689809453794003,0.0129267341015317,-0.709087400647554,-0.00236395844231432,-2.59033070495472e-05,-0.000135913023301175
