      Time    Hgtkm GeocenLat  Lon(East)   DensMean   PresMean    Tmean   EWmean   NSmean   DensPert   PresPert    Tpert   EWpert  NSpert SDden% SDprs% SDtemK SDuwnd SDvwnd SDwwnd Wpert SpdAvg  SpdStd SOSmean SOSpert Sev
      0.00  183.000  40.00000 -105.27000 6.8383e-010 2.7456e-004 1136.19   74.02  -12.23 6.6788e-010 2.6591e-004 1126.68   -4.14  -23.67   5.85   7.12  92.03  87.00  87.00  11.99  -4.58 121.60  77.33  749.74  746.59   0
      0.00  182.500  40.00000 -105.27000 6.9450e-010 2.7775e-004 1132.65   73.34  -12.11 6.9011e-010 2.6761e-004 1098.22   -6.66  -14.36   5.84   7.11  91.74  87.00  87.00  11.99  -2.19 121.18  77.33  748.27  736.81   0
      0.00  182.000  40.00000 -105.27000 7.0539e-010 2.8099e-004 1129.08   72.67  -12.00 6.8574e-010 2.7504e-004 1136.82   -2.41  -35.06   5.83   7.11  91.46  87.00  87.00  11.99  -4.41 120.76  77.33  746.79  749.35   0
      0.00  181.500  40.00000 -105.27000 7.1651e-010 2.8428e-004 1125.47   72.00  -11.88 7.0140e-010 2.7755e-004 1122.49    9.49  -48.59   5.82   7.11  91.16  87.00  87.00  11.99  -2.57 120.35  77.33  745.30  744.31   0
      0.00  181.000  40.00000 -105.27000 7.2787e-010 2.8763e-004 1121.84   71.33  -11.77 7.1407e-010 2.7636e-004 1098.72    5.42  -59.35   5.82   7.11  90.87  87.00  87.00  11.99  -5.93 119.94  77.33  743.79  736.09   0
      0.00  180.500  40.00000 -105.27000 7.3948e-010 2.9103e-004 1118.17   70.67  -11.65 7.0693e-010 2.8222e-004 1134.27  -23.09  -52.79   5.81   7.10  90.57  87.00  87.00  11.99  -2.10 119.53  77.33  742.28  747.61   0
      0.00  180.000  40.00000 -105.27000 7.5134e-010 2.9448e-004 1114.47   70.00  -11.54 7.0359e-010 2.8570e-004 1154.62  -16.64  -44.03   5.80   7.10  90.27  87.00  87.00  11.99  -4.72 119.13  77.33  740.75  753.98   0
      0.00  179.500  40.00000 -105.27000 7.6347e-010 2.9799e-004 1110.75   69.34  -11.43 7.2812e-010 2.8653e-004 1119.87    0.15  -42.11   5.82   7.15  90.73  87.00  87.00  11.95   0.02 118.73  77.33  739.22  742.25   0
      0.00  179.000  40.00000 -105.27000 7.7586e-010 3.0156e-004 1106.99   68.68  -11.31 7.6001e-010 2.8253e-004 1058.75   18.01  -51.98   5.84   7.21  91.18  87.00  87.00  11.90   5.80 118.34  77.33  737.67  721.42   0
      0.00  178.500  40.00000 -105.27000 7.8852e-010 3.0519e-004 1103.19   68.02  -11.20 7.9231e-010 2.8110e-004 1011.26    7.44  -65.84   5.86   7.26  91.61  87.00  87.00  11.86   0.88 117.95  77.33  736.11  704.77   0
      0.00  178.000  40.00000 -105.27000 8.0147e-010 3.0887e-004 1099.37   67.37  -11.09 7.9650e-010 2.8618e-004 1024.94    8.94  -38.41   5.87   7.31  92.03  87.00  87.00  11.81  -5.01 117.56  77.33  734.53  709.23   0
      0.00  177.500  40.00000 -105.27000 8.1471e-010 3.1262e-004 1095.51   66.71  -10.97 8.2076e-010 2.8387e-004  987.44   -5.14  -26.19   5.89   7.36  92.43  87.00  87.00  11.77  -4.13 117.17  77.33  732.95  695.86   0
      0.00  177.000  40.00000 -105.27000 8.2824e-010 3.1643e-004 1091.62   66.06  -10.86 8.5097e-010 2.8448e-004  955.20    9.24  -42.74   5.91   7.42  92.82  87.00  87.00  11.72  -5.42 116.79  77.33  731.35  684.12   0
      0.00  176.500  40.00000 -105.27000 8.4209e-010 3.2030e-004 1087.70   65.41  -10.75 8.6405e-010 2.8826e-004  954.00  -20.45  -44.81   5.93   7.47  93.20  87.00  87.00  11.68  -3.26 116.42  77.33  729.74  683.42   0
      0.00  176.000  40.00000 -105.27000 8.5626e-010 3.2424e-004 1083.74   64.76  -10.64 8.8462e-010 2.9012e-004  938.61   -2.74  -49.89   5.95   7.52  93.57  87.00  87.00  11.63  -2.62 116.04  77.33  728.11  677.61   0
      0.00  175.500  40.00000 -105.27000 8.7075e-010 3.2825e-004 1079.75   64.12  -10.53 9.1291e-010 2.9048e-004  911.39    0.22  -60.49   5.96   7.57  93.92  87.00  87.00  11.59  -4.48 115.67  77.33  726.47  667.44   0
      0.00  175.000  40.00000 -105.27000 8.8558e-010 3.3233e-004 1075.73   63.47  -10.42 9.3671e-010 2.9453e-004  901.33  -17.82  -47.83   5.98   7.62  94.25  87.00  87.00  11.54   0.73 115.31  77.33  724.82  663.47   0
      0.00  174.500  40.00000 -105.27000 9.0076e-010 3.3647e-004 1071.67   62.83  -10.31 9.4709e-010 3.0165e-004  913.77    8.81  -15.49   6.00   7.67  94.58  87.00  87.00  11.49   1.12 114.94  77.33  723.16  667.76   0
      0.00  174.000  40.00000 -105.27000 9.1630e-010 3.4069e-004 1067.57   62.19  -10.19 9.6532e-010 3.0603e-004  910.26  -10.44  -15.20   6.02   7.72  94.89  87.00  87.00  11.45   3.34 114.59  77.33  721.48  666.21   0
      0.00  173.500  40.00000 -105.27000 9.3221e-010 3.4498e-004 1063.44   61.55  -10.08 9.8836e-010 3.0704e-004  892.71  -25.71  -30.39   6.04   7.77  95.19  87.00  87.00  11.40   0.50 114.23  77.33  719.79  659.48   0
      0.00  173.000  40.00000 -105.27000 9.4850e-010 3.4935e-004 1059.28   60.92   -9.97 9.8787e-010 3.1812e-004  926.15   -0.89  -16.84   6.05   7.82  95.47  87.00  87.00  11.36   0.48 113.88  77.33  718.08  671.44   0
      0.00  172.500  40.00000 -105.27000 9.6518e-010 3.5379e-004 1055.08   60.28   -9.87 9.9581e-010 3.2547e-004  940.78   -4.90  -15.81   6.07   7.87  95.74  87.00  87.00  11.32   3.79 113.53  77.33  716.36  676.45   0
      0.00  172.000  40.00000 -105.27000 9.8227e-010 3.5831e-004 1050.84   59.65   -9.76 1.0001e-009 3.3576e-004  967.16   -6.21  -17.34   6.09   7.91  96.00  87.00  87.00  11.27   4.79 113.19  77.33  714.63  685.58   0
      0.00  171.500  40.00000 -105.27000 9.9978e-010 3.6292e-004 1046.57   59.02   -9.65 1.0107e-009 3.4322e-004  979.04   -6.43   12.55   6.11   7.96  96.25  87.00  87.00  11.23   9.62 112.85  77.33  712.88  689.50   0
