ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2021, Month=  4, Day=  1, Hour=21.00,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   40.00, Longitude=   40.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=   500.00 Step=     0.50

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K
  150.0 1.797E-12  592.8
  150.5 1.747E-12  595.1
  151.0 1.698E-12  597.3
  151.5 1.652E-12  599.5
  152.0 1.607E-12  601.7
  152.5 1.563E-12  603.8
  153.0 1.521E-12  605.8
  153.5 1.481E-12  607.9
  154.0 1.441E-12  609.8
  154.5 1.404E-12  611.8
  155.0 1.367E-12  613.7
  155.5 1.331E-12  615.6
  156.0 1.297E-12  617.4
  156.5 1.264E-12  619.2
  157.0 1.232E-12  621.0
  157.5 1.200E-12  622.7
  158.0 1.170E-12  624.4
  158.5 1.141E-12  626.0
  159.0 1.112E-12  627.7
  159.5 1.085E-12  629.3
  160.0 1.058E-12  630.8
  160.5 1.032E-12  632.4
  161.0 1.007E-12  633.9
  161.5 9.828E-13  635.3
  162.0 9.592E-13  636.8
  162.5 9.362E-13  638.2
  163.0 9.139E-13  639.6
  163.5 8.922E-13  640.9
  164.0 8.712E-13  642.2
  164.5 8.508E-13  643.5
  165.0 8.309E-13  644.8
  165.5 8.116E-13  646.1
  166.0 7.928E-13  647.3
  166.5 7.746E-13  648.5
  167.0 7.568E-13  649.7
  167.5 7.396E-13  650.8
  168.0 7.228E-13  652.0
  168.5 7.064E-13  653.1
  169.0 6.905E-13  654.2
  169.5 6.751E-13  655.2
  170.0 6.600E-13  656.3
  170.5 6.453E-13  657.3
  171.0 6.311E-13  658.3
  171.5 6.171E-13  659.3
  172.0 6.036E-13  660.3
  172.5 5.904E-13  661.2
  173.0 5.775E-13  662.1
  173.5 5.650E-13  663.0
  174.0 5.528E-13  663.9
  174.5 5.409E-13  664.8
  175.0 5.293E-13  665.7
  175.5 5.180E-13  666.5
  176.0 5.069E-13  667.3
  176.5 4.962E-13  668.1
  177.0 4.857E-13  668.9
  177.5 4.755E-13  669.7
  178.0 4.655E-13  670.4
  178.5 4.557E-13  671.2
  179.0 4.462E-13  671.9
  179.5 4.370E-13  672.6
  180.0 4.279E-13  673.3
  180.5 4.191E-13  674.0
  181.0 4.105E-13  674.7
  181.5 4.020E-13  675.3
  182.0 3.938E-13  676.0
  182.5 3.858E-13  676.6
  183.0 3.780E-13  677.2
  183.5 3.703E-13  677.8
  184.0 3.628E-13  678.4
  184.5 3.555E-13  679.0
  185.0 3.484E-13  679.6
  185.5 3.414E-13  680.2
  186.0 3.346E-13  680.7
  186.5 3.279E-13  681.3
  187.0 3.214E-13  681.8
  187.5 3.151E-13  682.3
  188.0 3.089E-13  682.8
  188.5 3.028E-13  683.3
  189.0 2.969E-13  683.8
  189.5 2.910E-13  684.3
  190.0 2.854E-13  684.7
  190.5 2.798E-13  685.2
  191.0 2.744E-13  685.7
  191.5 2.691E-13  686.1
  192.0 2.639E-13  686.5
  192.5 2.588E-13  687.0
  193.0 2.538E-13  687.4
  193.5 2.490E-13  687.8
  194.0 2.442E-13  688.2
  194.5 2.396E-13  688.6
  195.0 2.350E-13  689.0
  195.5 2.306E-13  689.3
  196.0 2.262E-13  689.7
  196.5 2.219E-13  690.1
  197.0 2.178E-13  690.4
  197.5 2.137E-13  690.8
  198.0 2.097E-13  691.1
  198.5 2.058E-13  691.5
  199.0 2.019E-13  691.8
  199.5 1.982E-13  692.1
  200.0 1.945E-13  692.4
  200.5 1.909E-13  692.7
  201.0 1.874E-13  693.0
