     Time  HgtMOLA LatPC   LonE    Denkgm3   Temp  EWind  NWind  sigD  Ls   Dust  LTST CO2%m  N2%m  Ar%m  O2%m  CO%m   O%m  He%m  H2%m   H%m H2O%m  DensP
        0.  37.00  18.44   77.45 3.842E-04  152.8   29.3   31.0   5.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.968
        0.  37.50  18.44   77.45 3.624E-04  151.5   29.1   33.1   5.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.940
        0.  38.00  18.44   77.45 3.419E-04  150.2   28.9   35.2   5.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.939
        0.  38.50  18.44   77.45 3.226E-04  148.9   28.7   37.2   5.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.977
        0.  39.00  18.44   77.45 3.043E-04  147.5   28.5   39.3   5.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.976
        0.  39.50  18.44   77.45 2.872E-04  146.2   28.3   41.4   5.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.948
        0.  40.00  18.44   77.45 2.710E-04  144.9   28.1   43.4   5.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.953
        0.  40.50  18.44   77.45 2.540E-04  143.9   28.3   43.5   5.5   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.944
        0.  41.00  18.44   77.45 2.381E-04  142.8   28.5   43.6   5.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.926
        0.  41.50  18.44   77.45 2.232E-04  141.8   28.8   43.7   5.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.942
        0.  42.00  18.44   77.45 2.093E-04  140.7   29.0   43.8   5.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.964
        0.  42.50  18.44   77.45 1.962E-04  139.7   29.3   43.9   5.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.957
        0.  43.00  18.44   77.45 1.840E-04  138.6   29.5   43.9   5.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.900
        0.  43.50  18.44   77.45 1.725E-04  137.6   29.8   44.0   6.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.936
        0.  44.00  18.44   77.45 1.618E-04  136.5   30.0   44.1   6.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.913
        0.  44.50  18.44   77.45 1.517E-04  135.5   30.2   44.2   6.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.924
        0.  45.00  18.44   77.45 1.423E-04  134.4   30.5   44.3   6.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.925
        0.  45.50  18.44   77.45 1.322E-04  135.1   29.6   41.4   6.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.932
        0.  46.00  18.44   77.45 1.228E-04  135.7   28.7   38.5   6.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.935
