Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],sigma1_1,sigma2_1,sigma3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],sigma1_2,sigma2_2,sigma3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
3050,-9269.31048645338,41439.9714667659,-0.00480312843792806,-2.98989369516577,-0.668776800656791,-4.27658125353746e-06,-0.323963339811332,0.428236629436245,-0.132773517863417,-0.0013462786801685,-0.000977915564446622,-0.000821845902617716,-9269.31076078169,41439.9802272448,0,-2.98990218554286,-0.668779410295604,0,-0.323963339811332,0.428236629436245,-0.132773517863417,-0.0013462786801685,-0.000977915564446622,0.000178154097382283
3060,-9299.20700210349,41433.27291406,-0.00484591090160676,-2.98941043796266,-0.67093372867151,-4.27982966120409e-06,-0.326870026397747,0.42746370934611,-0.127993247797152,-0.00134993897773671,-0.000977616025093756,-0.000828000575001358,-9299.20736740477,41433.2816476253,0,-2.98941887968816,-0.670936455482832,0,-0.326870026397747,0.42746370934611,-0.127993247797152,-0.00134993897773671,-0.000977616025093756,0.000171999424998641
3070,-9329.09867742868,41426.5527938814,-0.00488872339026969,-2.98892562625282,-0.673090308119117,-4.28258580679406e-06,-0.329785243341056,0.426668135975701,-0.123212295472515,-0.00135360701486169,-0.000977256319153602,-0.000834158418552317,-9329.09913318817,41426.5614992994,0,-2.98893401764834,-0.673093151399629,0,-0.329785243341056,0.426668135975701,-0.123212295472515,-0.00135360701486169,-0.000977256319153603,0.000165841581447682
3080,-9358.985496886,41419.8111097207,-0.00493156096824569,-2.98843926027752,-0.675246537907586,-4.28484710609768e-06,-0.332709033964072,0.425849767968848,-0.118430569314226,-0.0013572827217616,-0.000976836245760291,-0.000840319026512734,-9358.98604257129,41419.8197857653,0,-2.98844759967583,-0.675249496923295,0,-0.332709033964072,0.425849767968848,-0.118430569314226,-0.0013572827217616,-0.000976836245760291,0.000159680973487265
3090,-9388.86744493488,41413.0478650797,-0.00497441867480137,-2.98795134027824,-0.677402416944955,-4.28661113125673e-06,-0.335641442613159,0.425008460474357,-0.113647978315411,-0.00136096602385616,-0.000976355608351513,-0.000846481988531738,-9388.86807999609,41413.0565105326,0,-2.98795962602384,-0.677405490931315,0,-0.335641442613159,0.425008460474357,-0.113647978315411,-0.00136096602385616,-0.000976355608351513,0.000153518011468261
3100,-9418.74450603717,41406.2630634709,-0.00501729152571583,-2.98746186649658,-0.67955794413931,-4.28787561299744e-06,-0.338582514639247,0.424144065086591,-0.108864432054887,-0.00136465684177995,-0.000975814214749886,-0.000852646890666231,-9418.74522990702,41406.2716771221,0,-2.98747009694639,-0.679561132301359,0,-0.338582514639247,0.424144065086591,-0.108864432054887,-0.00136465684177995,-0.000975814214749886,0.000147353109333769
3110,-9448.61666465711,41399.4567084178,-0.00506017451487742,-2.98697083917435,-0.681713118398768,-4.28863844279052e-06,-0.341532296378353,0.423256429785329,-0.104079840715152,-0.00136835509139757,-0.000975211877245545,-0.000858813315382956,-9448.61747675111,41399.4652890658,0,-2.98697901269833,-0.681716419911276,0,-0.341532296378353,0.423256429785329,-0.104079840715152,-0.00136835509139757,-0.000975211877245545,0.000141186684617043
3120,-9478.48390526138,41392.6288034547,-0.00510306261590161,-2.98647825855348,-0.683867938631462,-4.28889767493619e-06,-0.344490835131575,0.422345398874891,-0.0992941151011021,-0.00137206068382039,-0.000974548412679914,-0.000864980841561889,-9478.48480497794,41392.6373499069,0,-2.98648637353529,-0.683871352639101,0,-0.344490835131575,0.422345398874891,-0.0992941151011021,-0.00137206068382039,-0.000974548412679915,0.00013501915843811
3130,-9508.34621231905,41385.779352127,-0.00514595078376943,-2.98598412487609,-0.686022403745526,-4.28865152857064e-06,-0.347458179144559,0.421410812922521,-0.0945071666594882,-0.00137577352542503,-0.000973823642530656,-0.000871149044500981,-9508.34719903962,41385.7878631997,0,-2.98599217971375,-0.686025929363057,0,-0.347458179144559,0.421410812922521,-0.0945071666594882,-0.00137577352542503,-0.000973823642530656,0.000128850955499018
3140,-9538.20357030162,41378.9083579909,-0.00518883395648551,-2.98548843838447,-0.688176512649078,-4.28789838959382e-06,-0.350434377586408,0.420452508696003,-0.0897189074991366,-0.00137949351787363,-0.00097303739299773,-0.000877317495922303,-9538.20464339087,41378.91683251,0,-2.98549643149096,-0.688180148961547,0,-0.350434377586408,0.420452508696003,-0.0897189074991366,-0.00137949351787363,-0.00097303739299773,0.000122682504077696
3150,-9568.05596368302,41372.0158246134,-0.00523170705675503,-2.98499119932106,-0.690330264250204,-4.28663681251362e-06,-0.353419480528019,0.419470319100502,-0.0849292504119513,-0.00138322055813584,-0.000972189495090564,-0.000883485763979622,-9568.05712248896,41372.0242614146,0,-2.984999129125,-0.690334010313164,0,-0.353419480528019,0.419470319100502,-0.0849292504119513,-0.00138322055813584,-0.000972189495090564,0.000116514236020377
3160,-9597.90337693956,41365.1017555725,-0.00527456499367863,-2.98449240792849,-0.692483657456942,-4.28486552220591e-06,-0.356413538919847,0.418464073114611,-0.0801381088947223,-0.00138695453851248,-0.000971279784716272,-0.00088965341326745,-9597.90462079376,41365.1101535016,0,-2.98450027287476,-0.692487512296684,0,-0.356413538919847,0.418464073114611,-0.0801381088947223,-0.00138695453851248,-0.000971279784716272,0.000110346586732549
3170,-9627.74579455,41358.1661544572,-0.00531740266446458,-2.98399206444956,-0.694636691177265,-4.28258341558811e-06,-0.35941660456905,0.417433595725592,-0.0753453971717613,-0.00139069534666114,-0.000970308102768906,-0.000895820004831604,-9627.74712276771,41358.1745123703,0,-2.98399986299992,-0.694640653791075,0,-0.35941660456905,0.417433595725592,-0.0753453971717613,-0.00139069534666114,-0.000970308102768906,0.000104179995168395
3180,-9657.58320099552,41351.2090248674,-0.00536021495615718,-2.98349016912725,-0.696789364319069,-4.27978956320326e-06,-0.362428730116017,0.416378707863795,-0.070551030218382,-0.00139444286562344,-0.000969274295219683,-0.000901985096181308,-9657.58461287588,41351.2173416312,0,-2.98349789976099,-0.696793433675487,0,-0.362428730116017,0.416378707863795,-0.070551030218382,-0.00139444286562344,-0.000969274295219683,9.80149038186912e-05
3190,-9687.4155807597,41344.2303704136,-0.00540299674738052,-2.98298672220471,-0.698941675790148,-4.27648321071274e-06,-0.365449969010258,0.415299226336236,-0.0657549237852586,-0.00139819697385413,-0.000968178213208163,-0.000908148241302885,-9687.41707558592,41344.2386449059,0,-2.98299438341929,-0.698945850829263,0,-0.365449969010258,0.415299226336236,-0.0657549237852586,-0.00139819697385413,-0.000968178213208163,9.18517586971144e-05
3200,-9717.24291832857,41337.2301947176,-0.00544574291009678,-2.98248172392532,-0.701093624498189,-4.27266378029632e-06,-0.368480375485621,0.414194963759327,-0.0609569944236752,-0.00140195754525203,-0.000967019713134329,-0.000914308990675058,-9717.24449536813,41337.2384258275,0,-2.98248931423692,-0.701097904131931,0,-0.368480375485621,0.414194963759327,-0.0609569944236752,-0.00140195754525203,-0.000967019713134329,8.56910093249413e-05
3210,-9747.06519819057,41330.208501412,-0.00548844831137802,-2.98197517453259,-0.703245209350748,-4.26833087195608e-06,-0.37152000453483,0.413065728490731,-0.0561571595117021,-0.00140572444919271,-0.000965798656751522,-0.000920466891285912,-9747.0668566954,41330.2166880399,0,-2.98198269247682,-0.703249592463212,0,-0.37152000453483,0.413065728490731,-0.0561571595117021,-0.00140572444919271,-0.000965798656751522,7.9533108714087e-05
3220,-9776.88240483659,41323.1652941402,-0.00553110781519048,-2.98146707427029,-0.705396429255235,-4.26348426472336e-06,-0.374568911883322,0.411911324560341,-0.0513553372813151,-0.00140949755056316,-0.000964514911260199,-0.00092662148665154,-9776.88414404328,41323.1734351985,0,-2.98147451840273,-0.705400914703013,0,-0.374568911883322,0.411911324560341,-0.0513553372813151,-0.00140949755056316,-0.000964514911260199,7.33785133484587e-05
3230,-9806.69452275991,41316.1005765565,-0.00557371628419051,-2.98095742338236,-0.707547283118901,-4.25812391776539e-06,-0.377627153962343,0.410731551600356,-0.0465514468464923,-0.00141327670979812,-0.00096316834940245,-0.000932772316836413,-9806.69634188996,41316.1086709699,0,-2.98096479227918,-0.707551869731436,0,-0.377627153962343,0.410731551600356,-0.0465514468464923,-0.00141327670979812,-0.00096316834940245,6.72276831635862e-05
3240,-9836.50153645628,41309.0143523264,-0.00561626858153107,-2.98044622211295,-0.709697769848819,-4.25224997139131e-06,-0.380694787881304,0.40952620477444,-0.0417454082323092,-0.00141706178291841,-0.000961758849557245,-0.0009389189184755,-9836.50343471625,41309.0223990316,0,-2.98045351437153,-0.709702456428771,0,-0.380694787881304,0.40952620477444,-0.0417454082323092,-0.00141706178291841,-0.000961758849557245,6.10810815244988e-05
3250,-9866.30343042388,41301.906625126,-0.00565875957267771,-2.97993347070646,-0.711847888351871,-4.24586274795459e-06,-0.383771871399356,0.408295074705963,-0.0369371424050665,-0.00142085262157107,-0.000960286295836344,-0.000945060824798186,-9866.30540700566,41301.9146230728,0,-2.97994068494594,-0.711852673675501,0,-0.383771871399356,0.408295074705963,-0.0369371424050665,-0.00142085262157107,-0.000960286295836344,5.49391752018134e-05
3260,-9896.10018916329,41294.7773986424,-0.0057011841272331,-2.97941916940746,-0.71399763753473,-4.23896275264969e-06,-0.386858462896161,0.40703794740528,-0.0321265713034752,-0.00142464907307135,-0.000958750578180831,-0.000951197565653995,-9896.10224324434,41294.7853467934,0,-2.97942630426938,-0.7140025203523,0,-0.386858462896161,0.40703794740528,-0.0321265713034752,-0.00142464907307135,-0.000958750578180831,4.88024343460045e-05
3270,-9925.89179717757,41287.6266765738,-0.00574353712076897,-2.97890331846082,-0.716147016303843,-4.23155067420216e-06,-0.389954621341843,0.405754604196072,-0.0273136178709317,-0.00142845098044664,-0.000957151592458215,-0.000957328667540175,-9925.89392792111,41287.6345739047,0,-2.97891037260962,-0.716151995340038,0,-0.389954621341843,0.405754604196072,-0.0273136178709317,-0.00142845098044664,-0.000957151592458215,4.2671332459824e-05
3280,-9955.6782389722,41280.4544626292,-0.00578581343666445,-2.9783859181116,-0.718296023565421,-4.22362738544996e-06,-0.393060406266077,0.404444821640693,-0.022498206088913,-0.00143225818248227,-0.000955489240560041,-0.000963453653631158,-9955.68044552748,41280.4623081293,0,-2.97839289023524,-0.718301097519775,0,-0.393060406266077,0.404444821640693,-0.022498206088913,-0.00143225818248227,-0.000955489240560042,3.65463463688415e-05
3290,-9985.4594990551,41273.2607605284,-0.00582800796794961,-2.97786696860514,-0.720444658225417,-4.21519394381368e-06,-0.396175877726301,0.403108371464539,-0.0176802610115254,-0.00143607051376916,-0.000953763430499967,-0.000969572043809924,-9985.46178055766,41273.2685532007,0,-2.97787385741563,-0.720449825772766,0,-0.396175877726301,0.403108371464539,-0.0176802610115254,-0.00143607051376916,-0.000953763430499967,3.04279561900754e-05
3300,-10015.2355619366,41266.0455740023,-0.00587011561915317,-2.97734647018702,-0.722592919189516,-4.2062515916555e-06,-0.39930109627502,0.401745020479411,-0.0128597088012377,-0.00143988780475343,-0.000951974076512226,-0.000975683354701311,-10015.2379175085,41266.0533128639,0,-2.97735327442099,-0.722598178980462,0,-0.39930109627502,0.401745020479411,-0.0128597088012377,-0.00143988780475343,-0.000951974076512226,2.43166452986881e-05
3310,-10045.0064121297,41258.8089067928,-0.00591213130815327,-2.97682442310311,-0.724740805363114,-4.19680175652417e-06,-0.402436122926161,0.400354530505857,-0.00803647676583572,-0.00144370988178787,-0.000950121099150449,-0.000981787099707282,-10045.0088408797,41258.816590875,0,-2.97683114152232,-0.724746156024509,0,-0.402436122926161,0.400354530505857,-0.00803647676583572,-0.00144370988178787,-0.00095012109915045,1.82129002927169e-05
3320,-10074.7720341494,41251.5507626525,-0.00595404996803005,-2.97630082759954,-0.726888315651312,-4.18684605128478e-06,-0.405581019120466,0.398936658294482,-0.00321049339663073,-0.0014475365671854,-0.000948204425386755,-0.000987882789044184,-10074.7745351735,41251.5583910011,0,-2.97630745899144,-0.726893755786748,0,-0.405581019120466,0.398936658294482,-0.00321049339663073,-0.0014475365671854,-0.000948204425386755,1.21172109558156e-05
3330,-10104.5324125136,41244.2711453451,-0.00599586654891897,-2.97577568392275,-0.729035448958892,-4.17638627413198e-06,-0.408735846689876,0.397491155446212,0.00161831159203917,-0.00145136767927429,-0.000946223988711067,-0.000993969929782018,-10104.534984895,41244.2787170206,0,-2.97578222710096,-0.729040977149216,0,-0.408735846689876,0.397491155446212,0.00161831159203917,-0.00145136767927429,-0.000946223988711067,6.0300702179816e-06
3340,-10134.2875317424,41236.9700586453,-0.00603757601986372,-2.97524899231947,-0.731182204190309,-4.16542440848562e-06,-0.411900667820884,0.396017768331491,0.00645000722197947,-0.00145520303245548,-0.000944179729230588,-0.00100004802588575,-10134.2901745519,41236.9775727231,0,-2.9752554461243,-0.731187818994148,0,-0.411900667820884,0.396017768331491,0.00645000722197947,-0.00145520303245548,-0.000944179729230589,-4.80258857554636e-08
3350,-10164.0373763584,41229.6475063386,-0.00607917337066744,-2.97472075303675,-0.733328580249672,-4.15396262276777e-06,-0.415075545016816,0.39451623800841,0.011284661208941,-0.00145904243726164,-0.000942071593769371,-0.0010061165782587,-10164.0400886548,41229.6549619095,0,-2.97472711633569,-0.733334280203977,0,-0.415075545016816,0.39451623800841,0.011284661208941,-0.00145904243726164,-0.000942071593769371,-6.11657825870518e-06
3360,-10193.7819308868,41222.3034922215,-0.00612065361374108,-2.97419096632196,-0.735474576040735,-4.1420032700583e-06,-0.418260541059003,0.392986300139741,0.0161223399190144,-0.00146288570041827,-0.000939899535967908,-0.00101217508478797,-10193.7847117169,41222.3108883916,0,-2.97419723801017,-0.735480359661332,0,-0.418260541059003,0.392986300139741,0.0161223399190144,-0.00146288570041827,-0.000939899535967908,-1.21750847879702e-05
3370,-10223.5211798551,41214.9380201015,-0.00616201178594785,-2.97365963242282,-0.737620190466879,-4.12954888763058e-06,-0.421455718966823,0.391427684908869,0.0209631083235761,-0.00146673262490666,-0.000937663516382698,-0.001018223040392,-10223.5240282541,41214.9453559925,0,-2.97366581142358,-0.737626056249043,0,-0.421455718966823,0.391427684908869,0.0209631083235761,-0.00146673262490666,-0.000937663516382699,-1.8223040392002e-05
3380,-10253.2551077933,41207.551093797,-0.00620324295044221,-2.97312675158739,-0.739765422431101,-4.11660219636389e-06,-0.424661141956552,0.389840116934615,0.0258070299527419,-0.00147058301002875,-0.000935363502585695,-0.00102425993707028,-10253.2580227854,41207.5583685465,0,-2.97313283685257,-0.739771368850138,0,-0.424661141956552,0.389840116934615,0.0258070299527419,-0.00147058301002875,-0.000935363502585696,-2.4259937070277e-05
3390,-10282.9836992339,41200.1427171375,-0.00624434219850258,-2.97259232406409,-0.741910270836,-4.10316610003386e-06,-0.427876873399002,0.388223315184918,0.0306541668472872,-0.0014744366514739,-0.000932999469263586,-0.00103028526395511,-10282.9866798322,41200.1499298992,0,-2.9725983145746,-0.741916296347846,0,-0.427876873399002,0.388223315184918,0.0306541668472872,-0.0014744366514739,-0.000932999469263587,-3.02852639551108e-05
3400,-10312.7069387119,41192.7128939633,-0.00628530465135616,-2.97205635010175,-0.744054734583764,-4.08924368447798e-06,-0.431102976775907,0.386576992889389,0.0355045795089852,-0.00147829334138758,-0.000930571398316825,-0.00103629850736563,-10312.7099839188,41192.720043907,0,-2.97206224486792,-0.744060837625596,0,-0.431102976775907,0.386576992889389,0.0355045795089852,-0.00147829334138758,-0.000930571398316826,-3.62985073656267e-05
3410,-10342.4248107648,41185.2616281257,-0.00632612546199493,-2.97151882994954,-0.746198812576157,-4.07483821663748e-06,-0.434339515635003,0.384900857450706,0.0403583268493211,-0.00148215286844196,-0.000928079278958351,-0.00104229915086389,-10342.4279195724,41185.2687144378,0,-2.9715246280116,-0.746204991567017,0,-0.434339515635003,0.384900857450706,0.0403583268493211,-0.00148215286844196,-0.000928079278958351,-4.22991508638924e-05
3420,-10372.1372999324,41177.7889234871,-0.00636679981698129,-2.9709797638571,-0.748342503714508,-4.05995314347293e-06,-0.437586553543765,0.383194610354846,0.0452154661365296,-0.00148601501790833,-0.000925523107811915,-0.00104828667531324,-10372.1404713228,41177.7959453705,0,-2.97098546428551,-0.748348757055941,0,-0.437586553543765,0.383194610354846,0.0452154661365296,-0.00148601501790833,-0.000925523107811915,-4.82866753132375e-05
3430,-10401.8443907572,41170.2947839207,-0.00640732293824239,-2.97043915207444,-0.7504858068997,-4.04459209075589e-06,-0.440844154041766,0.381457947080145,0.0500760529409106,-0.00148987957173148,-0.000922902889009946,-0.00105426055893876,-10401.8476237028,41170.3017405952,0,-2.97044475397032,-0.750492132976401,0,-0.440844154041766,0.381457947080145,0.0500760529409106,-0.00148987957173148,-0.000922902889009946,-5.42605589387657e-05
3440,-10431.5460677841,41162.7792133108,-0.00644769008485165,-2.96989699485205,-0.752628721032155,-4.02875886173379e-06,-0.444112380591597,0.379690557005168,0.0549401410783704,-0.00149374630860587,-0.000920218634290884,-0.00106022027739007,-10431.5493612478,41162.7861040132,0,-2.96990249734752,-0.752635118212635,0,-0.444112380591597,0.379690557005168,0.0549401410783704,-0.00149374630860587,-0.000920218634290884,-6.0220277390068e-05
3450,-10461.2423155605,41155.2422155528,-0.00648789655479627,-2.96935329244084,-0.754771245011827,-4.01245743566759e-06,-0.447391296528309,0.37789212331539,0.0598077825521353,-0.00149761500405369,-0.000917470363095896,-0.00106616530380615,-10461.2456684963,41155.249039537,0,-2.96935869469939,-0.754777711649082,0,-0.447391296528309,0.37789212331539,0.0598077825521353,-0.00149761500405369,-0.000917470363095896,-6.61653038061486e-05
3460,-10490.9331186363,41147.6837945528,-0.0065279376867296,-2.96880804509222,-0.756913377738188,-3.99569196624511e-06,-0.450680965007332,0.376062322908665,0.064679027492586,-0.00150148543050479,-0.00091465810266491,-0.00107209510888257,-10490.9365299894,41147.69055109,0,-2.96881334630903,-0.756919912170386,0,-0.450680965007332,0.376062322908665,0.064679027492586,-0.00150148543050479,-0.000914658102664911,-7.20951088825685e-05
3470,-10520.6184615639,41140.1039542282,-0.0065678088617069,-2.96826125305807,-0.759055118110221,-3.97846677986768e-06,-0.453981448950815,0.374200826299492,0.0695539240951541,-0.00150535735737841,-0.000911781888131882,-0.00107800916094081,-10520.621930271,41140.110642607,0,-2.96826645246032,-0.759061718661395,0,-0.453981448950815,0.374200826299492,0.0695539240951541,-0.00150535735737841,-0.000911781888131882,-7.80091609408119e-05
3480,-10550.2983288981,41132.5026985072,-0.00660750550490338,-2.96771291659078,-0.761196465026405,-3.96078637380881e-06,-0.457292810992328,0.372307297522055,0.0744325185562283,-0.0015092305511667,-0.000908841762619217,-0.00108390692599988,-10550.301853888,41132.5093180339,0,-2.96771801343797,-0.761203130007164,0,-0.457292810992328,0.372307297522055,0.0744325185562283,-0.0015092305511667,-0.000908841762619217,-8.39069259998792e-05
3490,-10579.9727051966,41124.8800313292,-0.00664702308731325,-2.96716303594325,-0.763337417384713,-3.94265541424857e-06,-0.460615113419892,0.370381394032034,0.0793148550070043,-0.00151310477552011,-0.000905837777331281,-0.00108978786785011,-10579.9762853901,41124.8865813277,0,-2.96716802952749,-0.763344145092951,0,-0.460615113419892,0.370381394032034,0.0793148550070043,-0.00151310477552011,-0.000905837777331281,-8.9787867850109e-05
3500,-10609.6415750191,41117.2359566443,-0.00668635712742834,-2.96661161136896,-0.765477974082597,-3.92407873418271e-06,-0.463948418117267,0.368422766607189,0.0842009754452263,-0.00151697979133447,-0.000902769991646903,-0.00109565144812923,-10609.6452093299,41117.2424364566,0,-2.96661650101517,-0.765484762804223,0,-0.463948418117267,0.368422766607189,0.0842009754452263,-0.00151697979133447,-0.000902769991646904,-9.56514481292269e-05
3510,-10639.3049229281,41109.5704784141,-0.00672550319289538,-2.9660586431219,-0.767618134016981,-3.90506133120536e-06,-0.467292786503437,0.366431059246701,0.0890909196647493,-0.00152085535683991,-0.000899638473210805,-0.00110149712640062,-10639.3086102627,41109.5768873999,0,-2.96606342818814,-0.76762498202665,0,-0.467292786503437,0.366431059246701,0.0890909196647493,-0.00152085535683991,-0.000899638473210806,-0.000101497126400621
3520,-10668.9627334887,41101.8836006108,-0.00676445690215029,-2.96550413145666,-0.769757896084256,-3.88560836516721e-06,-0.470648279470252,0.364405909069269,0.0939847251828648,-0.00152473122769146,-0.000896443298023869,-0.00110732436023384,-10668.9664727469,41101.8899381481,0,-2.96550881133431,-0.769764801646114,0,-0.470648279470252,0.364405909069269,0.0939847251828648,-0.00152473122769146,-0.000896443298023869,-0.000107324360233841
3530,-10698.6149912684,41094.1753272178,-0.00680321392602857,-2.96494807662842,-0.771897259180267,-3.86572515571093e-06,-0.474014957318147,0.362346946209968,0.0988824271653182,-0.00152860715706139,-0.000893184550532167,-0.00111313260528731,-10698.6187813436,41094.1815927027,0,-2.96495265074241,-0.771904220548703,0,-0.474014957318147,0.362346946209968,0.0988824271653182,-0.00152860715706139,-0.000893184550532168,-0.000113132605287311
3540,-10728.2616808373,41086.4456622296,-0.00684176998935041,-2.96439047889299,-0.774036222200312,-3.84541717968384e-06,-0.477392879689881,0.360253793715852,0.103784058348954,-0.00153248289573325,-0.000889862323714678,-0.00111892131539325,-10728.2655206169,41086.4518550766,0,-2.96439494670194,-0.774043237620712,0,-0.477392879689881,0.360253793715852,0.103784058348954,-0.00153248289573325,-0.000889862323714678,-0.000118921315393254
3550,-10757.902786768,41078.6946096516,-0.00688012087247919,-2.9638313385068,-0.776174784039131,-3.82469006842667e-06,-0.480782105502244,0.358126067440314,0.108689648961915,-0.00153635819219755,-0.000886476719169589,-0.00112468994264482,-10757.9066751338,41078.7007292935,0,-2.96383569950325,-0.776181851748648,0,-0.480782105502244,0.358126067440314,0.108689648961915,-0.00153635819219755,-0.000886476719169589,-0.000124689942644818
3560,-10787.5382936356,41070.9221735004,-0.00691826241285248,-2.96327065572692,-0.778312943590902,-3.80354960494363e-06,-0.484182692875639,0.355963375936192,0.113599226641327,-0.0015402327927491,-0.000883027847199133,-0.00113043793748538,-10787.5422294641,41070.9282193885,0,-2.96327490943745,-0.778320061819226,0,-0.484182692875639,0.355963375936192,0.113599226641327,-0.0015402327927491,-0.000883027847199133,-0.000130437937485385
3570,-10817.168186018,41063.1283578036,-0.00695619050648394,-2.96270843081112,-0.780450699749238,-3.78200172095206e-06,-0.487594699061499,0.353765320347637,0.11851281634839,-0.00154410644158593,-0.000879515826892849,-0.00113616474880006,-10817.1721681806,41063.1343294077,0,-2.9627125767965,-0.780457866719372,0,-0.487594699061499,0.353765320347637,0.11851281634839,-0.00154410644158593,-0.00087951582689285,-0.000136164748800064
3580,-10846.7924484953,41055.3131665998,-0.00699390110943523,-2.96214466401784,-0.782588051407175,-3.76005249381413e-06,-0.491018180367444,0.351531494300729,0.123430440280805,-0.00154797888090981,-0.000875940786209208,-0.00114186982400933,-10846.796475859,41055.3190634083,0,-2.96214870187311,-0.782595265336222,0,-0.491018180367444,0.351531494300729,0.123430440280805,-0.00154797888090981,-0.000875940786209208,-0.000141869824009333
3590,-10876.4110656506,41047.4766039387,-0.00703139023925664,-2.96157935560626,-0.784724997457177,-3.73770814335188e-06,-0.494453192080123,0.349261483792863,0.128352117782452,-0.00155184985102835,-0.000872302862055504,-0.00114755260916483,-10876.4151370781,41047.4824254589,0,-2.96158328496084,-0.784732256557126,0,-0.494453192080123,0.349261483792863,0.128352117782452,-0.00155184985102835,-0.000872302862055504,-0.000147552609164835
3600,-10906.0240220692,41039.6186738812,-0.00706865397639529,-2.96101250583627,-0.786861536791125,-3.71497502854761e-06,-0.497899788385652,0.346954867080898,0.133277865250239,-0.0015557190904585,-0.000868602200365948,-0.00115321254904729,-10906.0281364193,41039.6244196389,0,-2.96101632635403,-0.786868839269643,0,-0.497899788385652,0.346954867080898,0.133277865250239,-0.0015557190904585,-0.000868602200365948,-0.000153212549047291
3610,-10935.6313023393,41031.739380499,-0.00710568846556973,-2.96044411496853,-0.788997668300318,-3.69185964413086e-06,-0.501358022287578,0.344611214568085,0.138207696038051,-0.00155958633603165,-0.000864838956177867,-0.00115884908726652,-10935.6354584672,41031.7450500389,0,-2.96044782634781,-0.789005012361546,0,-0.501358022287578,0.344611214568085,0.138207696038051,-0.00155958633603165,-0.000864838956177867,-0.000158849087266517
3620,-10965.2328910514,41023.8387278753,-0.00714248991710991,-2.95987418326446,-0.791133390875469,-3.66836861705497e-06,-0.504827945522283,0.342230088689784,0.143141620357686,-0.00156345132300012,-0.000861013293705934,-0.00116446166636352,-10965.2370878092,41023.8443207608,0,-2.95987778523814,-0.791140774720821,0,-0.504827945522283,0.342230088689784,0.143141620357686,-0.00156345132300012,-0.000861013293705935,-0.000164461666363522
3630,-10994.8287727989,41015.916720104,-0.00717905460826136,-2.9593027109863,-0.793268703406703,-3.64450870286416e-06,-0.508309608471753,0.339811043797978,0.14807964517672,-0.00156731378514501,-0.000857125386414359,-0.00117004972791466,-10994.8330090359,41015.9222359173,0,-2.95930620332176,-0.793276125235669,0,-0.508309608471753,0.339811043797978,0.14807964517672,-0.00156731378514501,-0.000857125386414359,-0.000170049727914658
3640,-11024.4189321775,41007.9733612903,-0.00721537888445245,-2.95872969839708,-0.795403604783558,-3.62028678195338e-06,-0.511803060073617,0.337353626044599,0.153021774113192,-0.00157117345488548,-0.000853175417086933,-0.00117561271263779,-11024.4232067406,41007.9787996326,0,-2.95873308089624,-0.795411062794505,0,-0.511803060073617,0.337353626044599,0.153021774113192,-0.00157117345488548,-0.000853175417086933,-0.000175612712637796
3650,-11054.0033537859,41000.0086555505,-0.00725145916052378,-2.95815514576068,-0.797538093894981,-3.59570985572576e-06,-0.515308347728378,0.334857373263686,0.157968007327019,-0.00157503006338932,-0.000849163577894881,-0.0011811500605005,-11054.0076655198,41000.0140160417,0,-2.95815841825991,-0.797545586285957,0,-0.515308347728378,0.334857373263686,0.157968007327019,-0.00157503006338932,-0.000849163577894882,-0.000181150060500502
3660,-11083.582022225,40992.0226070119,-0.00728729192191863,-2.95757905334185,-0.799672169629329,-3.57078504264616e-06,-0.51882551720373,0.332321814852392,0.16291834140805,-0.00157888334068474,-0.00084509007046242,-0.00118666121083018,-11083.5863699728,40992.0278892908,0,-2.95758221571194,-0.799679694598871,0,-0.51882551720373,0.332321814852392,0.16291834140805,-0.00157888334068474,-0.00084509007046242,-0.000186661210830178
3670,-11113.1549220987,40984.0152198131,-0.00732287372583343,-2.95700142140622,-0.801805830874373,-3.54551957419623e-06,-0.522354612535891,0.329746471650863,0.167872769260656,-0.00158273301577352,-0.000840955105929945,-0.00119214560242613,-11113.159304702,40984.0204235373,0,-2.95700447355229,-0.801813386622307,0,-0.522354612535891,0.329746471650863,0.167872769260656,-0.00158273301577352,-0.000840955105929945,-0.000192145602426134
3680,-11142.7220380134,40975.9864981036,-0.00735820120232729,-2.95642225022031,-0.803939076517294,-3.51992079073388e-06,-0.525895675927833,0.327130855821008,0.17283127998475,-0.0015865788167452,-0.000836758905014788,-0.00119760267367355,-11142.7264543128,40975.9916229497,0,-2.9564251920817,-0.803946661245544,0,-0.525895675927833,0.327130855821008,0.17283127998475,-0.0015865788167452,-0.000836758905014788,-0.000197602673673555
3690,-11172.2833545781,40967.9364460442,-0.00739327105538967,-2.95584154005157,-0.806071905444689,-3.49399613725894e-06,-0.529448747644317,0.324474470724188,0.177793858753152,-0.00159042047089249,-0.000832501698069439,-0.00120303186265933,-11172.2878034136,40967.9414917074,0,-2.95584437160175,-0.806079517358077,0,-0.529448747644317,0.324474470724188,0.177793858753152,-0.00159042047089249,-0.00083250169806944,-0.000203031862659333
