Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],sigma1_1,sigma2_1,sigma3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],sigma1_2,sigma2_2,sigma3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
14330,-36489.6053318387,21718.7249238437,-0.00950102052371395,-1.56700834510999,-2.63272631575578,-2.55846877209025e-07,-0.50909215878567,0.368043415149068,0.451047589126933,-0.00240320743833024,-2.22602956978503e-05,-0.00103435074087953,-36489.6046855346,21718.7279753262,0,-1.56700920846416,-2.6327269294686,0,-0.50909215878567,0.368043415149068,0.451047589126933,-0.00240320743833024,-2.22602956978509e-05,-3.43507408795312e-05
14340,-36505.2659142136,21692.3920095933,-0.00950359209695314,-1.5651084339747,-2.63385621341277,-2.58452586675539e-07,-0.514844274060763,0.364310837479511,0.458212792628975,-0.00240322728999289,-2.15998218691246e-05,-0.00103436902969803,-36505.2652786767,21692.3950553243,0,-1.56510928408958,-2.63385684244487,0,-0.514844274060763,0.364310837479511,0.458212792628975,-0.00240322728999289,-2.15998218691252e-05,-3.43690296980286e-05
14350,-36520.9074934084,21666.0478032277,-0.0095061892701738,-1.56320770840797,-2.63498474023505,-2.60966714832155e-07,-0.520605932848864,0.360490355374505,0.465407852851391,-0.00240324814104119,-2.09411538439096e-05,-0.00103438028613889,-36520.9068685006,21666.0508430476,0,-1.56320854497792,-2.63498538432946,0,-0.520605932848864,0.360490355374505,0.465407852851391,-0.00240324814104119,-2.09411538439102e-05,-3.43802861388921e-05
14360,-36536.5300612839,21639.6923184582,-0.00950881112285517,-1.56130616939378,-2.63611189564136,-2.63388325396247e-07,-0.526376963400506,0.356580555808813,0.472632930855938,-0.00240326998440361,-2.02844055051171e-05,-0.00103438454842412,-36536.5294468638,21639.69535221,0,-1.56130699211864,-2.63611255453491,0,-0.526376963400506,0.356580555808813,0.472632930855938,-0.00240326998440361,-2.02844055051177e-05,-3.43845484241195e-05
14370,-36552.1336097104,21613.3255690016,-0.00951145672527163,-1.55940381791642,-2.63723767905106,-2.65716513727195e-07,-0.532157178624123,0.352579994245484,0.479888178966562,-0.00240329281289847,-1.96296897240439e-05,-0.00103438185586247,-36552.1330056338,21613.3285965311,0,-1.55940462650162,-2.63723835247444,0,-0.532157178624123,0.352579994245484,0.479888178966562,-0.00240329281289847,-1.96296897240445e-05,-3.43818558624667e-05
14380,-36567.7181305686,21586.9475685807,-0.00951412513881052,-1.55750065496047,-2.63836208988414,-2.67950407101307e-07,-0.537946375448913,0.348487194068338,0.487173740234252,-0.00240331661923504,-1.89771183455201e-05,-0.00103437224883602,-36567.717536688,21586.9505897366,0,-1.55750144911716,-2.63836277756202,0,-0.537946375448913,0.348487194068338,0.487173740234252,-0.00240331661923504,-1.89771183455208e-05,-3.43722488360137e-05
14390,-36583.2836157485,21560.5583309241,-0.0095168154162927,-1.55559668151084,-2.63948512756118,-2.70089164993864e-07,-0.54374433416294,0.344300646008564,0.494489747877068,-0.00240334139601443,-1.83268021733241e-05,-0.00103435576878662,-36583.2830319135,21560.561345558,0,-1.55559746095598,-2.63948582921232,0,-0.54374433416294,0.344300646008564,0.494489747877068,-0.00240334139601443,-1.83268021733247e-05,-3.43557687866179e-05
14400,-36598.8300571503,21534.1578697661,-0.00951952660229596,-1.55369189855271,-2.64060679150338,-2.72131979364183e-07,-0.549550817725566,0.340018807565847,0.501836324694268,-0.00240336713573063,-1.76788509558637e-05,-0.00103433245820226,-36598.8294832078,21534.1608777325,0,-1.55369266300922,-2.64060750684071,0,-0.549550817725566,0.340018807565847,0.501836324694268,-0.00240336713573063,-1.76788509558643e-05,-3.43324582022595e-05
14410,-36614.357446684,21507.7461988468,-0.00952225773348131,-1.55178630707159,-2.64172708113256,-2.74078074945943e-07,-0.555365571053268,0.335640102424519,0.509213582453432,-0.00240339383077151,-1.7033373372126e-05,-0.00103430236060328,-36614.3568824777,21507.7492000032,0,-1.55178705626847,-2.6417278098633,0,-0.555365571053268,0.335640102424519,0.509213582453432,-0.00240339383077151,-1.70333733721267e-05,-3.4302360603281e-05
14420,-36629.8657762693,21481.3233319122,-0.00952500783892219,-1.5498799080533,-2.64284599587114,-2.75926709542121e-07,-0.56118832027788,0.331162919865245,0.516621621249426,-0.00240342147341972,-1.63904770178946e-05,-0.00103426552052853,-36629.8652216405,21481.3263261192,0,-1.54988064172571,-2.6428467376969,0,-0.56118832027788,0.331162919865245,0.516621621249426,-0.00240342147341972,-1.63904770178952e-05,-3.42655205285239e-05
